Stop,NextStop,Direction,Line,Period,AvgVolatilityMinutes
COO,RED,Inbound to,Red,Night,4.937962355286057
COW,HAR,Inbound to,Green,Night,3.5355339059327378
RIA,BLU,Outbound to,Red,Midday,3.5355339059327378
SDK,ABB,Outbound to,Red,Morning,3.3042791870357062
DOM,DAW,Outbound to,Green,Morning,3.2301100772436704
CVN,RED,Inbound to,Red,Morning,3.211106305263608
SAN,LEO,Outbound to,Green,Morning,3.02330046767893
SMI,JAM,Outbound to,Red,Morning,3.002838163644028
CPK,KIL,Inbound to,Green,Midday,2.875567576825293
DAW,CHA,Outbound to,Green,Midday,2.840212237765966
RAN,STS,Inbound to,Green,Midday,2.8284271247461903
BEL,BLU,Inbound to,Red,Morning,2.8284271247461903
BLU,JAM,Inbound to,Red,Morning,2.8284271247461903
OGP,DOM,Inbound to,Green,Midday,2.822534568236302
RIA,BLU,Outbound to,Red,Morning,2.6615054219578647
OGP,PHI,Inbound to,Green,Morning,2.656238289734536
SMI,BUS,Inbound to,Red,Morning,2.6457513110645907
SUI,MUS,Inbound to,Red,Morning,2.6010590845169306
BUS,JER,Outbound to,Red,Midday,2.594352048899638
RIA,MUS,Inbound to,Red,Evening,2.5878071002426855
JAM,SMI,Inbound to,Red,Night,2.529392644310145
RAN,WIN,Outbound to,Green,Night,2.515525863586056
DAW,OUP,Inbound to,Green,Evening,2.515525863586056
HAR,COW,Outbound to,Green,Evening,2.5155212625263617
BUS,JER,Outbound to,Red,Evening,2.5000370367626923
BLU,SUI,Inbound to,Red,Evening,2.479284240002561
FET,RED,Inbound to,Red,Evening,2.47477215283991
RIA,MUS,Inbound to,Red,Morning,2.4623041310336937
BUS,JER,Outbound to,Red,Morning,2.4437116230501363
RIA,MUS,Inbound to,Red,Midday,2.4279977533706756
OGP,DOM,Inbound to,Green,Evening,2.418234958379792
TRY,STS,Outbound to,Green,Night,2.3935223159950745
GAL,CCK,Outbound to,Green,Morning,2.3724271123247433
BAW,CHE,Outbound to,Green,Evening,2.3718848286689322
GLE,CCK,Outbound to,Green,Midday,2.3648173525900713
BEE,STS,Inbound to,Green,Morning,2.33812009006286
STS,RAN,Outbound to,Green,Night,2.314227332858237
RAN,MIL,Outbound to,Green,Night,2.3094612166284825
CHA,STS,Inbound to,Green,Midday,2.2949824497029265
MUS,ABB,Inbound to,Red,Midday,2.2872757512267197
HEU,RIA,Outbound to,Red,Midday,2.2865775889798168
GDK,FOU,Outbound to,Red,Morning,2.2854815523048804
CPK,BAW,Outbound to,Green,Morning,2.281668475190894
CHA,DAW,Inbound to,Green,Night,2.2727064140456954
SUI,MUS,Inbound to,Red,Midday,2.255131962638832
FET,FOR,Outbound to,Red,Morning,2.250088504237365
WES,OUP,Inbound to,Green,Night,2.2443244712123764
OGP,DOM,Inbound to,Green,Morning,2.233942151790551
MUS,ABB,Inbound to,Red,Morning,2.2273046044530354
COO,RED,Inbound to,Red,Midday,2.225050046912124
WES,DOM,Inbound to,Green,Night,2.2236314975816107
GAL,SAN,Inbound to,Green,Morning,2.2223479862933897
WES,BRD,Inbound to,Green,Morning,2.2205844659391745
MIL,KIL,Outbound to,Green,Morning,2.215124969680938
CHA,STS,Inbound to,Green,Evening,2.2065196762853665
ABB,SDK,Inbound to,Red,Midday,2.201692557399539
CHA,STS,Inbound to,Green,Night,2.164955619743234
CHA,DAW,Inbound to,Green,Evening,2.1331054565794183
MYS,JER,Outbound to,Red,Night,2.1331054565794183
JAM,ABB,Inbound to,Red,Midday,2.1213203435596424
BAL,COW,Inbound to,Green,Evening,2.1213203435596424
MIL,KIL,Outbound to,Green,Night,2.1213203435596424
LEO,CCK,Outbound to,Green,Morning,2.1099941101419066
BAW,LAU,Outbound to,Green,Morning,2.1053668318711205
RAN,MIL,Outbound to,Green,Morning,2.0942744744075084
MAR,CHA,Outbound to,Green,Morning,2.0859650045003155
KYL,RIA,Inbound to,Red,Midday,2.074959740941663
CVN,FOR,Inbound to,Red,Midday,2.0741798914805396
HAR,DAW,Inbound to,Green,Evening,2.0732048437952666
GLE,BAW,Outbound to,Green,Midday,2.0716236718024166
JER,HEU,Outbound to,Red,Morning,2.0617549159231645
