Line,Direction,Stop,PeakPeriod,AvgHeadwayMinutes
Green,Inbound,BAL,Evening,10.480602810650888
Green,Inbound,BAL,Morning,10.075619674670797
Green,Inbound,BAW,Evening,14.592963549920762
Green,Inbound,BAW,Morning,13.021697261510683
Green,Inbound,BEE,Evening,10.516956414524381
Green,Inbound,BEE,Morning,10.161345837446529
Green,Inbound,BRD,Evening,16.01678010966156
Green,Inbound,BRD,Morning,19.271025815217392
Green,Inbound,BRI,Evening,14.61949379818974
Green,Inbound,BRI,Morning,13.249858236461582
Green,Inbound,CAB,Evening,22.015364583333334
Green,Inbound,CAB,Morning,21.754444444444445
Green,Inbound,CCK,Evening,14.619701287734854
Green,Inbound,CCK,Morning,13.019801384291304
Green,Inbound,CHA,Evening,10.502167316861724
Green,Inbound,CHA,Morning,10.24789722785666
Green,Inbound,CHE,Evening,14.666115564462258
Green,Inbound,CHE,Morning,13.201579301075268
Green,Inbound,COW,Evening,10.468825577134481
Green,Inbound,COW,Morning,10.13798849434636
Green,Inbound,CPK,Evening,14.90778479609929
Green,Inbound,CPK,Morning,13.671034825870647
Green,Inbound,DAW,Evening,10.497613782937167
Green,Inbound,DAW,Morning,10.399742885319808
Green,Inbound,DOM,Evening,16.18881368678323
Green,Inbound,DOM,Morning,19.320192522946048
Green,Inbound,DUN,Evening,10.477233054781802
Green,Inbound,DUN,Morning,10.085282021151587
Green,Inbound,GAL,Evening,14.784136413641365
Green,Inbound,GAL,Morning,13.310827681116683
Green,Inbound,GLE,Evening,14.923128566633098
Green,Inbound,GLE,Morning,13.623812316715542
Green,Inbound,GRA,Evening,16.153853454821565
Green,Inbound,GRA,Morning,19.29416896235078
Green,Inbound,HAR,Evening,10.498287268904965
Green,Inbound,HAR,Morning,10.26930004093328
Green,Inbound,KIL,Evening,10.493263850458094
Green,Inbound,KIL,Morning,9.991603126191384
Green,Inbound,LAU,Evening,14.597176772537697
Green,Inbound,LAU,Morning,13.027766085387853
Green,Inbound,LEO,Evening,14.641138029964935
Green,Inbound,LEO,Morning,13.103368263473055
Green,Inbound,MIL,Evening,10.396101152755145
Green,Inbound,MIL,Morning,10.089971241305511
Green,Inbound,OGP,Evening,10.567996620352986
Green,Inbound,OGP,Morning,10.66875470278405
Green,Inbound,OUP,Evening,16.314360197949807
Green,Inbound,OUP,Morning,18.575203506574827
Green,Inbound,PHI,Evening,17.08710276038042
Green,Inbound,PHI,Morning,19.751091180866965
Green,Inbound,RAN,Evening,10.513033950617283
Green,Inbound,RAN,Morning,10.178540087754287
Green,Inbound,SAN,Evening,10.534204370575562
Green,Inbound,SAN,Morning,9.907912976511358
Green,Inbound,STI,Evening,10.529047355132704
Green,Inbound,STI,Morning,9.90819441783228
Green,Inbound,STS,Evening,10.478585039031287
Green,Inbound,STS,Morning,10.368733333333333
Green,Inbound,WES,Evening,10.525609605149151
Green,Inbound,WES,Morning,10.513542571676803
Green,Inbound,WIN,Evening,10.462707300654795
Green,Inbound,WIN,Morning,10.088798690452329
Green,Outbound,BAL,Evening,9.246314002089864
Green,Outbound,BAL,Morning,11.897278470058843
Green,Outbound,BAW,Evening,15.619166929299297
Green,Outbound,BAW,Morning,16.433847509916262
Green,Outbound,BEE,Evening,9.271734651833539
Green,Outbound,BEE,Morning,11.524546653478405
Green,Outbound,BRD,Evening,15.716386063369576
Green,Outbound,BRD,Morning,16.453072491598657
Green,Outbound,BRO,Evening,15.542978033849478
Green,Outbound,BRO,Morning,16.439892051030423
Green,Outbound,CAB,Evening,15.710068582239565
Green,Outbound,CAB,Morning,16.459165082382764
Green,Outbound,CCK,Evening,15.622868712702473
Green,Outbound,CCK,Morning,16.48591011235955
Green,Outbound,CHA,Evening,9.248570394498733
Green,Outbound,CHA,Morning,11.293704070679548
Green,Outbound,CHE,Evening,17.60333333333333
Green,Outbound,CHE,Morning,22.608333333333334
Green,Outbound,COW,Evening,9.243186060983199
Green,Outbound,COW,Morning,11.672584481627297
Green,Outbound,CPK,Evening,15.665677655677657
Green,Outbound,CPK,Morning,16.56531271477663
Green,Outbound,DAW,Evening,9.27976320299112
Green,Outbound,DAW,Morning,11.154779697960455
Green,Outbound,DOM,Evening,15.843910139647845
Green,Outbound,DOM,Morning,16.60173225697948
Green,Outbound,DUN,Evening,9.252348958333334
Green,Outbound,DUN,Morning,11.810083567834912
Green,Outbound,GAL,Evening,15.659114906832297
Green,Outbound,GAL,Morning,16.497705156136526
Green,Outbound,GLE,Evening,15.655040801570085
Green,Outbound,GLE,Morning,16.50708650324035
Green,Outbound,GRA,Evening,15.713854571126014
Green,Outbound,GRA,Morning,16.39760883380998
Green,Outbound,HAR,Evening,9.28822936064556
Green,Outbound,HAR,Morning,11.266385270943882
Green,Outbound,KIL,Evening,9.246452508116032
Green,Outbound,KIL,Morning,12.102389215162841
Green,Outbound,LAU,Evening,15.707979071288424
Green,Outbound,LAU,Morning,16.63025821596244
Green,Outbound,LEO,Evening,15.647942708333332
Green,Outbound,LEO,Morning,16.50602014010508
Green,Outbound,MAR,Evening,9.113943945493961
Green,Outbound,MAR,Morning,11.073104706583258
Green,Outbound,MIL,Evening,9.253380810768508
Green,Outbound,MIL,Morning,11.76324796848067
Green,Outbound,PAR,Evening,9.005379553106826
Green,Outbound,PAR,Morning,10.96299261533962
Green,Outbound,PHI,Evening,15.69881457891012
Green,Outbound,PHI,Morning,16.387462283627123
Green,Outbound,RAN,Evening,9.260035537700865
Green,Outbound,RAN,Morning,11.360691117764471
Green,Outbound,SAN,Evening,15.56624248281787
Green,Outbound,SAN,Morning,16.60837070254111
Green,Outbound,STI,Evening,15.489982073183592
Green,Outbound,STI,Morning,16.16911803364879
Green,Outbound,STS,Evening,9.287006749740396
Green,Outbound,STS,Morning,11.259315134099618
Green,Outbound,TRY,Evening,9.2622947454844
Green,Outbound,TRY,Morning,11.113057445200303
Green,Outbound,WIN,Evening,9.257998540982753
Green,Outbound,WIN,Morning,11.779872404303228
Red,Inbound,ABB,Evening,13.380498145204026
Red,Inbound,ABB,Morning,13.539862052562729
Red,Inbound,BEL,Evening,13.44486305077406
Red,Inbound,BEL,Morning,12.488159722222223
Red,Inbound,BLA,Evening,13.404422526248807
Red,Inbound,BLA,Morning,12.993370078740156
Red,Inbound,BLU,Evening,13.446968736797633
Red,Inbound,BLU,Morning,12.880903850113238
Red,Inbound,CIT,Evening,17.608602150537635
Red,Inbound,CIT,Morning,17.694988738738736
Red,Inbound,COO,Evening,18.831275060144346
Red,Inbound,COO,Morning,17.736195286195287
Red,Inbound,CVN,Evening,17.61196111580727
Red,Inbound,CVN,Morning,17.686012408347434
Red,Inbound,DRI,Evening,13.446357333333333
Red,Inbound,DRI,Morning,12.98095011625449
Red,Inbound,FAT,Evening,13.390751414238446
Red,Inbound,FAT,Morning,12.9991943439658
Red,Inbound,FET,Evening,17.576190476190476
Red,Inbound,FET,Morning,17.67230857800806
Red,Inbound,FOR,Evening,17.469910996267586
Red,Inbound,FOR,Morning,17.683473861720067
Red,Inbound,FOU,Evening,13.337567826364506
Red,Inbound,FOU,Morning,13.366446700507614
Red,Inbound,GDK,Evening,18.20394461859979
Red,Inbound,GDK,Morning,18.368808882907132
Red,Inbound,GOL,Evening,13.385069109611056
Red,Inbound,GOL,Morning,12.998858666666667
Red,Inbound,HOS,Evening,18.695791245791245
Red,Inbound,HOS,Morning,17.70936329588015
Red,Inbound,JAM,Evening,13.402945515860472
Red,Inbound,JAM,Morning,13.032833499944463
Red,Inbound,KIN,Evening,13.456745135977643
Red,Inbound,KIN,Morning,12.44584972264246
Red,Inbound,KYL,Evening,13.460609938153125
Red,Inbound,KYL,Morning,12.846267676767678
Red,Inbound,MUS,Evening,13.392042942848121
Red,Inbound,MUS,Morning,13.3266821089786
Red,Inbound,MYS,Evening,18.78723309608541
Red,Inbound,MYS,Morning,18.776319176319177
Red,Inbound,RED,Evening,13.46981439270596
Red,Inbound,RED,Morning,12.556604351823474
Red,Inbound,RIA,Evening,13.393084992506958
Red,Inbound,RIA,Morning,13.041243213897937
Red,Inbound,SAG,Evening,17.35665509259259
Red,Inbound,SAG,Morning,17.838372417643775
Red,Inbound,SDK,Evening,20.365909090909092
Red,Inbound,SDK,Morning,22.521604938271608
Red,Inbound,SMI,Evening,13.310611358338631
Red,Inbound,SMI,Morning,13.32978853644964
Red,Inbound,SUI,Evening,13.4101265144205
Red,Inbound,SUI,Morning,13.025860215053763
Red,Inbound,TAL,Evening,18.764140644833713
Red,Inbound,TAL,Morning,17.766411764705882
Red,Outbound,ABB,Evening,9.631095447870779
Red,Outbound,ABB,Morning,10.099282845668387
Red,Outbound,BEL,Evening,10.11126546146527
Red,Outbound,BEL,Morning,11.960248217097343
Red,Outbound,BLU,Evening,10.18654982023626
Red,Outbound,BLU,Morning,11.034365671641792
Red,Outbound,BUS,Evening,19.908388587502515
Red,Outbound,BUS,Morning,15.93847187758478
Red,Outbound,CIT,Evening,17.606032002876663
Red,Outbound,CIT,Morning,15.367059208374222
Red,Outbound,CON,Evening,19.785042735042733
Red,Outbound,CON,Morning,15.967815040650407
Red,Outbound,COO,Evening,16.7016567963903
Red,Outbound,COO,Morning,18.71990400903444
Red,Outbound,CVN,Evening,17.158986769925782
Red,Outbound,CVN,Morning,15.02179487179487
Red,Outbound,DRI,Evening,10.191008856372738
Red,Outbound,DRI,Morning,10.836446932006634
Red,Outbound,FET,Evening,17.15073092369478
Red,Outbound,FET,Morning,15.05694565533275
Red,Outbound,FOR,Evening,20.61984126984127
Red,Outbound,FOR,Morning,24.813333333333333
Red,Outbound,FOU,Evening,9.663205357142857
