Stop,NextStop,Direction,Line,Period,AvgVolatilityMinutes
DUN,RAN,Inbound to,Green,Evening,4.242640687119285
MAR,HAR,Outbound to,Green,Morning,3.5473190189525132
BEE,WIN,Outbound to,Green,Night,3.523748792912962
COO,RED,Inbound to,Red,Evening,3.511963679893186
DAW,OGP,Inbound to,Green,Midday,3.1874445898479373
WIN,STI,Outbound to,Green,Midday,3.0587458093025526
GDK,JER,Outbound to,Red,Night,3.047783043702665
BEL,CIT,Outbound to,Red,Morning,2.9546010141583334
COW,KIL,Outbound to,Green,Morning,2.877128841461635
OGP,GRA,Inbound to,Green,Night,2.8402122377659658
DRI,RED,Outbound to,Red,Midday,2.8284271247461903
HEU,RIA,Outbound to,Red,Night,2.8284271247461903
BAL,COW,Inbound to,Green,Midday,2.8284271247461903
STI,DUN,Inbound to,Green,Evening,2.725211510649729
DUN,STI,Outbound to,Green,Evening,2.719518164294805
PAR,DAW,Outbound to,Green,Morning,2.654346185660584
STS,RAN,Outbound to,Green,Midday,2.646756562721789
BAW,CHE,Outbound to,Green,Night,2.6457513110645907
OGP,BRD,Inbound to,Green,Night,2.612338199109208
RAN,MIL,Outbound to,Green,Night,2.582711777166908
STI,DUN,Inbound to,Green,Night,2.569990632638931
TRY,HAR,Outbound to,Green,Evening,2.4989627477845318
SAN,GAL,Outbound to,Green,Midday,2.49249029952246
SAN,LEO,Outbound to,Green,Evening,2.475305817245394
MIL,RAN,Inbound to,Green,Evening,2.4689811776430286
FOU,MYS,Inbound to,Red,Morning,2.4559854018624416
FET,RED,Inbound to,Red,Midday,2.4079199425083657
MUS,ABB,Inbound to,Red,Morning,2.404410263566094
KIN,KYL,Inbound to,Red,Evening,2.3616224726657786
WIN,KIL,Outbound to,Green,Evening,2.3454947159323223
OGP,GRA,Inbound to,Green,Morning,2.3413227475942087
RIA,MUS,Inbound to,Red,Midday,2.2680463721619906
STI,GLE,Outbound to,Green,Morning,2.263559789831464
STI,WIN,Inbound to,Green,Morning,2.2326781791946306
JER,MUS,Outbound to,Red,Midday,2.2246507887246536
ABB,SDK,Inbound to,Red,Morning,2.214505366380185
SAN,GAL,Outbound to,Green,Morning,2.206926643602419
BRO,GRA,Outbound to,Green,Night,2.2046870971532586
OUP,PHI,Inbound to,Green,Morning,2.18140082360454
BRD,PAR,Outbound to,Green,Evening,2.1779761781990685
KYL,KIN,Outbound to,Red,Night,2.1760884888053407
GAL,CHE,Outbound to,Green,Morning,2.1684607956387456
BAW,GLE,Inbound to,Green,Morning,2.164105712610531
STI,DUN,Inbound to,Green,Midday,2.163728777416944
MIL,BAL,Outbound to,Green,Evening,2.142836477155217
COW,KIL,Outbound to,Green,Midday,2.1331054565794183
MIL,CHA,Inbound to,Green,Evening,2.1331054565794183
SUI,KYL,Outbound to,Red,Morning,2.133105456579418
ABB,SDK,Inbound to,Red,Midday,2.130888743251696
COW,HAR,Inbound to,Green,Morning,2.1246088964708214
BAW,CHE,Outbound to,Green,Morning,2.123345439204575
STI,WIN,Inbound to,Green,Midday,2.1213203435596424
BEL,TAL,Inbound to,Red,Morning,2.1213203435596424
OUP,WES,Inbound to,Green,Midday,2.1213203435596424
STS,WES,Inbound to,Green,Evening,2.1143685126857346
KYL,RIA,Inbound to,Red,Evening,2.1095352305398674
TRY,HAR,Outbound to,Green,Midday,2.109535230539867
DAW,CHA,Outbound to,Green,Evening,2.097750117520091
CHA,STS,Inbound to,Green,Midday,2.0896792240100535
BAW,LAU,Outbound to,Green,Morning,2.0887928342719793
BAW,LAU,Outbound to,Green,Evening,2.0828733716980317
WES,GRA,Inbound to,Green,Morning,2.0816659994661326
FET,KIN,Inbound to,Red,Night,2.0741798914805396
CHA,DAW,Inbound to,Green,Night,2.0723264793552767
PAR,TRY,Outbound to,Green,Morning,2.0566185878331025
STS,OGP,Inbound to,Green,Morning,2.0518247427767844
KIN,FET,Outbound to,Red,Evening,2.050500274141077
WES,DOM,Inbound to,Green,Morning,2.0379000997751735
HEU,RIA,Outbound to,Red,Morning,2.023998028154353
DUN,STI,Outbound to,Green,Night,2.023047167754032
STS,WES,Inbound to,Green,Night,2.0110957642140033
CHA,DAW,Inbound to,Green,Morning,2.010208123902746
MIL,CHA,Inbound to,Green,Morning,2.0059510228748954
PAR,TRY,Outbound to,Green,Midday,1.9988999007076096
COW,DUN,Outbound to,Green,Midday,1.9986083218278086
HAR,DAW,Inbound to,Green,Night,1.991270632073584
PAR,TRY,Outbound to,Green,Evening,1.9895489010078697
OGP,DOM,Inbound to,Green,Night,1.9894307379245373
GAL,CCK,Outbound to,Green,Morning,1.984344980775908
BEE,HAR,Inbound to,Green,Morning,1.9824882756131101
STI,DUN,Inbound to,Green,Morning,1.9812315728282701
DUN,COW,Inbound to,Green,Morning,1.98068457711516
OGP,BRD,Inbound to,Green,Morning,1.980107566440703
BEE,WIN,Outbound to,Green,Midday,1.9738149979527366
KIN,FET,Outbound to,Red,Midday,1.9591182255992494
KIN,KYL,Inbound to,Red,Morning,1.9426626885207774
BEL,CIT,Outbound to,Red,Midday,1.9383223476539957
BEE,WIN,Outbound to,Green,Evening,1.9265347892654765
WIN,RAN,Inbound to,Green,Night,1.9254869513969703
STI,GLE,Outbound to,Green,Evening,1.9232695750140274
CPK,LEO,Outbound to,Green,Evening,1.9229463523472974
JAM,SMI,Inbound to,Red,Midday,1.922281044215988
DAW,HAR,Outbound to,Green,Morning,1.9157572957108406
MYS,JER,Outbound to,Red,Midday,1.9145757384616426
FAT,MUS,Inbound to,Red,Midday,1.9086907734248861
KIN,HOS,Outbound to,Red,Evening,1.9074253078116852
JAM,FOU,Inbound to,Red,Morning,1.8968406112503622
MIL,BAL,Outbound to,Green,Morning,1.8945013744566808
RAN,WIN,Outbound to,Green,Morning,1.889832417822296
LEO,CCK,Outbound to,Green,Morning,1.8844341775361109
CHA,STS,Inbound to,Green,Morning,1.876715678408955
ABB,MYS,Inbound to,Red,Midday,1.8746879028110204
LEO,CCK,Outbound to,Green,Evening,1.873025476743671
RIA,MUS,Inbound to,Red,Evening,1.8721749599908757
STS,CHA,Outbound to,Green,Morning,1.8720374491466742
WES,OUP,Inbound to,Green,Evening,1.8718147879294533
STI,GLE,Outbound to,Green,Midday,1.8631779826169228
RAN,MIL,Outbound to,Green,Evening,1.8547499652073898
