TramJourneyID,TravelTimeMinutes,Line,Direction,hour_of_day,ServiceDay,Period
BRI_BRO01_2020_01_20,56.016666666666666,Green,Inbound to,5,2020-01-20,Morning
BRI_BRO01_2020_01_21,59.0,Green,Inbound to,5,2020-01-21,Morning
BRI_BRO01_2020_01_22,58.016666666666666,Green,Inbound to,5,2020-01-22,Morning
BRI_BRO01_2020_01_23,58.916666666666664,Green,Inbound to,5,2020-01-23,Morning
BRI_BRO01_2020_01_24,61.983333333333334,Green,Inbound to,5,2020-01-24,Morning
BRI_BRO01_2020_01_25,59.983333333333334,Green,Inbound to,6,2020-01-25,Morning
BRI_BRO01_2020_01_26,57.96666666666667,Green,Inbound to,7,2020-01-26,Morning
BRI_BRO01_2020_01_27,56.0,Green,Inbound to,5,2020-01-27,Morning
BRI_BRO01_2020_01_28,57.96666666666667,Green,Inbound to,5,2020-01-28,Morning
BRI_BRO01_2020_01_29,61.0,Green,Inbound to,5,2020-01-29,Morning
BRI_BRO01_2020_01_30,57.983333333333334,Green,Inbound to,5,2020-01-30,Morning
BRI_BRO01_2020_01_31,58.983333333333334,Green,Inbound to,5,2020-01-31,Morning
BRI_BRO01_2020_02_01,61.95,Green,Inbound to,6,2020-02-01,Morning
BRI_BRO01_2020_02_02,57.983333333333334,Green,Inbound to,7,2020-02-02,Morning
BRI_BRO01_2020_02_03,55.983333333333334,Green,Inbound to,5,2020-02-03,Morning
BRI_BRO01_2020_02_04,57.016666666666666,Green,Inbound to,5,2020-02-04,Morning
BRI_BRO01_2020_02_05,56.96666666666667,Green,Inbound to,5,2020-02-05,Morning
BRI_BRO01_2020_02_06,58.916666666666664,Green,Inbound to,5,2020-02-06,Morning
BRI_BRO01_2020_02_07,55.983333333333334,Green,Inbound to,5,2020-02-07,Morning
BRI_BRO01_2020_02_08,55.96666666666667,Green,Inbound to,6,2020-02-08,Morning
BRI_BRO01_2020_02_09,57.95,Green,Inbound to,7,2020-02-09,Morning
BRI_BRO01_2020_02_10,58.96666666666666,Green,Inbound to,5,2020-02-10,Morning
BRI_BRO01_2020_02_11,58.0,Green,Inbound to,5,2020-02-11,Morning
BRI_BRO01_2020_02_12,57.95,Green,Inbound to,5,2020-02-12,Morning
BRI_BRO01_2020_02_13,57.983333333333334,Green,Inbound to,5,2020-02-13,Morning
BRI_BRO01_2020_02_14,56.96666666666667,Green,Inbound to,5,2020-02-14,Morning
BRI_BRO01_2020_02_15,57.983333333333334,Green,Inbound to,6,2020-02-15,Morning
BRI_BRO01_2020_02_16,58.96666666666667,Green,Inbound to,6,2020-02-16,Morning
BRI_BRO01_2020_02_17,58.96666666666667,Green,Inbound to,5,2020-02-17,Morning
BRI_BRO01_2020_02_18,56.983333333333334,Green,Inbound to,5,2020-02-18,Morning
BRI_BRO01_2020_02_19,59.96666666666667,Green,Inbound to,5,2020-02-19,Morning
BRI_BRO01_2020_02_20,57.95,Green,Inbound to,5,2020-02-20,Morning
BRI_BRO01_2020_02_21,57.96666666666667,Green,Inbound to,5,2020-02-21,Morning
BRI_BRO01_2020_02_22,57.983333333333334,Green,Inbound to,6,2020-02-22,Morning
BRI_BRO01_2020_02_23,55.95,Green,Inbound to,7,2020-02-23,Morning
BRI_BRO01_2020_02_24,58.96666666666667,Green,Inbound to,5,2020-02-24,Morning
BRI_BRO01_2020_02_25,55.95,Green,Inbound to,5,2020-02-25,Morning
