Line,Direction,Stop,PeakPeriod,AvgHeadwayMinutes
Green,Inbound,BAL,Evening,9.617053701015964
Green,Inbound,BAL,Morning,9.609313725490196
Green,Inbound,BAW,Evening,13.776649958228905
Green,Inbound,BAW,Morning,12.54641598119859
Green,Inbound,BEE,Evening,9.657755052349648
Green,Inbound,BEE,Morning,9.789112161807196
Green,Inbound,BRD,Evening,15.687654320987654
Green,Inbound,BRD,Morning,17.576658163265307
Green,Inbound,BRI,Evening,13.767392260334212
Green,Inbound,BRI,Morning,12.62669992609017
Green,Inbound,CAB,Evening,17.922
Green,Inbound,CAB,Morning,19.807333333333332
Green,Inbound,CCK,Evening,13.763329161451814
Green,Inbound,CCK,Morning,12.555313725490196
Green,Inbound,CHA,Evening,9.635147058823529
Green,Inbound,CHA,Morning,9.84657258064516
Green,Inbound,CHE,Evening,13.77335092348285
Green,Inbound,CHE,Morning,12.61584729981378
Green,Inbound,COW,Evening,9.636974993930567
Green,Inbound,COW,Morning,9.744956314535345
Green,Inbound,CPK,Evening,13.978602715724923
Green,Inbound,CPK,Morning,13.321192443919715
Green,Inbound,DAW,Evening,9.669369696969698
Green,Inbound,DAW,Morning,9.953030303030303
Green,Inbound,DOM,Evening,15.643000773395205
Green,Inbound,DOM,Morning,17.581951423785593
Green,Inbound,DUN,Evening,9.624185647807984
Green,Inbound,DUN,Morning,9.669364833462431
Green,Inbound,GAL,Evening,13.79961439588689
Green,Inbound,GAL,Morning,12.752353395061728
Green,Inbound,GLE,Evening,14.054664914586072
Green,Inbound,GLE,Morning,13.166118047673098
Green,Inbound,GRA,Evening,15.771417445482866
Green,Inbound,GRA,Morning,17.297316017316017
Green,Inbound,HAR,Evening,9.66780938487722
Green,Inbound,HAR,Morning,9.875331170586644
Green,Inbound,KIL,Evening,9.594084848484849
Green,Inbound,KIL,Morning,9.49064548663641
Green,Inbound,LAU,Evening,13.70967469370511
Green,Inbound,LAU,Morning,12.546407538280329
Green,Inbound,LEO,Evening,13.831419059508947
Green,Inbound,LEO,Morning,12.51192156862745
Green,Inbound,MIL,Evening,9.5849532037437
Green,Inbound,MIL,Morning,9.714675220529271
Green,Inbound,OGP,Evening,9.748082157881711
Green,Inbound,OGP,Morning,10.188223822382238
Green,Inbound,OUP,Evening,15.717402501839588
Green,Inbound,OUP,Morning,17.16958925750395
Green,Inbound,PHI,Evening,16.902916666666666
Green,Inbound,PHI,Morning,17.157781649245067
Green,Inbound,RAN,Evening,9.673167762356952
Green,Inbound,RAN,Morning,9.77411093418259
Green,Inbound,SAN,Evening,9.712612612612613
Green,Inbound,SAN,Morning,9.511268504338949
Green,Inbound,STI,Evening,9.664936647173489
Green,Inbound,STI,Morning,9.479173008625063
Green,Inbound,STS,Evening,9.642456268221576
Green,Inbound,STS,Morning,9.933053691275168
Green,Inbound,WES,Evening,9.685219201567476
