Stop,NextStop,Direction,Line,Period,AvgVolatilityMinutes
RIA,MUS,Inbound to,Red,Night,4.277996026178613
RIA,MUS,Inbound to,Red,Evening,3.7764008928745505
CHA,DAW,Inbound to,Green,Morning,3.6062445840513924
CHA,STS,Inbound to,Green,Night,3.5473190189525132
DOM,TRY,Outbound to,Green,Morning,3.5355339059327378
CPK,BAW,Outbound to,Green,Morning,3.5237487929129623
KYL,BEL,Outbound to,Red,Evening,3.511963679893186
HAR,MIL,Outbound to,Green,Morning,3.511963679893186
MIL,CHA,Inbound to,Green,Morning,3.4809720864532463
ABB,SDK,Inbound to,Red,Morning,3.247007775835538
FET,RED,Inbound to,Red,Morning,3.1799866060747513
JAM,FOU,Inbound to,Red,Midday,3.0641444942237106
RED,BLA,Inbound to,Red,Morning,3.0059662894539136
DAW,OUP,Inbound to,Green,Evening,3.000061727760009
ABB,SDK,Inbound to,Red,Evening,2.88825475357239
KYL,KIN,Outbound to,Red,Midday,2.8571957831818984
FET,FOR,Outbound to,Red,Morning,2.8284271247461903
STS,OGP,Inbound to,Green,Morning,2.63000844950058
KIN,BLU,Inbound to,Red,Evening,2.626855605161877
RIA,MUS,Inbound to,Red,Midday,2.588770128141103
JAM,FOU,Inbound to,Red,Morning,2.550639618472
CVN,KIN,Inbound to,Red,Evening,2.4912253418154897
COO,KIN,Inbound to,Red,Night,2.4912253418154897
MUS,ABB,Inbound to,Red,Morning,2.480766290662804
JAM,GOL,Outbound to,Red,Evening,2.446348828376867
BAW,CHE,Outbound to,Green,Morning,2.4441555934216357
DAW,HAR,Outbound to,Green,Morning,2.433510147527391
RIA,MUS,Inbound to,Red,Morning,2.4178085671959724
CPK,LEO,Outbound to,Green,Morning,2.399991649484973
STI,GLE,Outbound to,Green,Midday,2.3945591703865805
KYL,GOL,Inbound to,Red,Midday,2.3869608383084473
GLE,BAW,Outbound to,Green,Morning,2.38608191528854
GLE,BAW,Outbound to,Green,Midday,2.347674183968907
CHA,STS,Inbound to,Green,Morning,2.315639516251904
KIL,CPK,Outbound to,Green,Midday,2.314227332858237
HEU,RIA,Outbound to,Red,Midday,2.3127343069822426
CHA,MIL,Outbound to,Green,Evening,2.3047254194934506
KIN,HOS,Outbound to,Red,Morning,2.297148254123431
RAN,STS,Inbound to,Green,Morning,2.2878244129031073
GAL,CCK,Outbound to,Green,Morning,2.283483756988056
BAW,LAU,Outbound to,Green,Midday,2.2811643865445337
MUS,ABB,Inbound to,Red,Midday,2.263106535297786
WES,OUP,Inbound to,Green,Evening,2.2456707853377806
ABB,MYS,Inbound to,Red,Midday,2.2436593721759857
LEO,CCK,Outbound to,Green,Morning,2.2422345977462914
DUN,STI,Outbound to,Green,Evening,2.2336857101776544
WIN,KIL,Outbound to,Green,Morning,2.233302241490395
WES,OUP,Inbound to,Green,Morning,2.202670493053808
LEO,CPK,Inbound to,Green,Morning,2.1802459086585215
FET,KIN,Inbound to,Red,Evening,2.1719717534542964
TRY,STS,Outbound to,Green,Midday,2.162568239128858
FAT,MUS,Inbound to,Red,Midday,2.1461808766214903
HEU,SUI,Outbound to,Red,Morning,2.144890569599194
BEL,RED,Inbound to,Red,Morning,2.1429042493838852
BEE,WIN,Outbound to,Green,Evening,2.139778645407477
KIN,KYL,Inbound to,Red,Morning,2.1377446773395707
RED,BLA,Inbound to,Red,Night,2.1331054565794187
MAR,HAR,Outbound to,Green,Morning,2.1331054565794183
BLU,GOL,Inbound to,Red,Evening,2.1254543334551848
DAW,OGP,Inbound to,Green,Evening,2.121320343559643
DAW,STS,Inbound to,Green,Evening,2.1213203435596424
RED,COO,Outbound to,Red,Midday,2.1213203435596424
COW,BAL,Outbound to,Green,Morning,2.1213203435596424
COW,DUN,Outbound to,Green,Night,2.1095352305398665
FAT,SMI,Inbound to,Red,Morning,2.1095352305398665
GLE,CCK,Outbound to,Green,Morning,2.097750117520091
OUP,PHI,Inbound to,Green,Morning,2.097750117520091
WIN,KIL,Outbound to,Green,Midday,2.08830868539799
MAR,STS,Outbound to,Green,Morning,2.082746584040731
FOU,MYS,Inbound to,Red,Evening,2.0741798914805396
BRI,CCK,Inbound to,Green,Morning,2.073080325756105
RAN,DUN,Outbound to,Green,Morning,2.0623947784607637
RED,BLA,Inbound to,Red,Midday,2.060111673983373
KYL,DRI,Inbound to,Red,Midday,2.0594458425659594
ABB,MYS,Inbound to,Red,Morning,2.0380172423522853
BAW,CHE,Outbound to,Green,Midday,2.0275252316519468
SAN,BAL,Inbound to,Green,Morning,2.023040509044386
DAW,OUP,Inbound to,Green,Morning,2.0191890130646173
KIN,KYL,Inbound to,Red,Night,2.0083390963495
FET,KIN,Inbound to,Red,Midday,2.001155802508329
DRI,FAT,Inbound to,Red,Midday,1.9479261639948522
ABB,SDK,Inbound to,Red,Midday,1.9376173670631354
JAM,SMI,Inbound to,Red,Morning,1.936804510185177
WES,OUP,Inbound to,Green,Night,1.9121397203319894
BEL,RED,Inbound to,Red,Evening,1.910433156062024
DAW,OGP,Inbound to,Green,Morning,1.9051029912812383
JAM,SMI,Inbound to,Red,Midday,1.9002630763377237
WIN,KIL,Outbound to,Green,Evening,1.8997319499027967
BEL,CIT,Outbound to,Red,Evening,1.8848997910292795
DAW,OGP,Inbound to,Green,Night,1.8717873711944324
OGP,DOM,Inbound to,Green,Morning,1.8400752838397068
FAT,MUS,Inbound to,Red,Morning,1.8122776078563292
OGP,DOM,Inbound to,Green,Evening,1.8112457346012194
SAN,BAL,Inbound to,Green,Evening,1.8098957904969941
BEE,WIN,Outbound to,Green,Morning,1.8032308121503544
CHA,COW,Outbound to,Green,Morning,1.794820741788746
BLU,GOL,Inbound to,Red,Morning,1.7935761842901323
SAN,GAL,Outbound to,Green,Midday,1.7913371790059203
GDK,JER,Outbound to,Red,Morning,1.7854446224960325
KYL,GOL,Inbound to,Red,Morning,1.7795520659861446
MAR,DAW,Outbound to,Green,Morning,1.775718649729481
PAR,TRY,Outbound to,Green,Morning,1.7745478882286227
LEO,CCK,Outbound to,Green,Midday,1.7695813485395586
CCK,LEO,Inbound to,Green,Morning,1.766066022981832
STS,CHA,Outbound to,Green,Night,1.7562850101953946
STS,WES,Inbound to,Green,Morning,1.751576029778449
ABB,GDK,Inbound to,Red,Midday,1.749861807478184
MAR,DAW,Outbound to,Green,Evening,1.742148508626096
CHA,COW,Outbound to,Green,Midday,1.7338874648433042
SMI,ABB,Inbound to,Red,Morning,1.731665483908984
DOM,CAB,Inbound to,Green,Night,1.7180311779551
KIN,FET,Outbound to,Red,Evening,1.7057456610055406
TRY,STS,Outbound to,Green,Evening,1.7007492338891785
STI,GLE,Outbound to,Green,Evening,1.7000934356696265
ABB,MYS,Inbound to,Red,Evening,1.6823199755517835
HEU,RIA,Outbound to,Red,Morning,1.6794261586096073
BEL,HOS,Outbound to,Red,Morning,1.6545978287651728
BLA,RIA,Inbound to,Red,Evening,1.6536155673083281
OGP,BRD,Inbound to,Green,Morning,1.6342089489685487
OGP,WES,Inbound to,Green,Evening,1.6308087878830655
BEE,WIN,Outbound to,Green,Midday,1.6303159210946867
OUP,PHI,Inbound to,Green,Night,1.6231756140584648
JER,MUS,Outbound to,Red,Morning,1.6194635028419249
TRY,STS,Outbound to,Green,Morning,1.6170274974931016
HEU,RIA,Outbound to,Red,Evening,1.6112142740099116
ABB,GDK,Inbound to,Red,Evening,1.6089699946742684
BAW,LAU,Outbound to,Green,Morning,1.6002309670724273
TRY,MAR,Outbound to,Green,Evening,1.5965346999789198
STS,CHA,Outbound to,Green,Morning,1.5942152752207057
STS,WES,Inbound to,Green,Night,1.5602706317957935
KIN,COO,Outbound to,Red,Evening,1.543012338645859
BEL,RED,Inbound to,Red,Night,1.5421245566257442
ABB,GDK,Inbound to,Red,Morning,1.5415825664740972
TRY,HAR,Outbound to,Green,Morning,1.5338756237830715
BUS,JER,Outbound to,Red,Evening,1.5257360093968975
KIL,GLE,Outbound to,Green,Morning,1.5240054437542514
BRD,PAR,Outbound to,Green,Morning,1.51843608629015
BLU,RED,Outbound to,Red,Morning,1.516087373704109
BAW,CHE,Outbound to,Green,Evening,1.51174839261212
LEO,LAU,Outbound to,Green,Midday,1.5111928082490678
OGP,WES,Inbound to,Green,Night,1.5093535530644067
KYL,DRI,Inbound to,Red,Morning,1.508258968042377
DAW,HAR,Outbound to,Green,Evening,1.4976427058992088
BAW,LAU,Outbound to,Green,Evening,1.4946703228650249
SUI,JAM,Inbound to,Red,Morning,1.4940338344946607
CHE,LAU,Outbound to,Green,Evening,1.4926941997087386
SUI,JAM,Inbound to,Red,Midday,1.4863374460902388
BEL,RED,Inbound to,Red,Midday,1.4862766750197458
LEO,CCK,Outbound to,Green,Evening,1.4813971591093609
OUP,PHI,Inbound to,Green,Evening,1.4811179249753383
OGP,DOM,Inbound to,Green,Night,1.4674559902510496
CPK,KIL,Inbound to,Green,Morning,1.461005488366501
FOU,GDK,Inbound to,Red,Evening,1.4585385318376929
KIN,KYL,Inbound to,Red,Evening,1.457030135172807
RED,BLU,Inbound to,Red,Evening,1.4561126050460398
RED,BEL,Outbound to,Red,Evening,1.4472971341605287
FOU,GDK,Inbound to,Red,Midday,1.4458742912909124
CCK,CHE,Outbound to,Green,Evening,1.4457206767596127
DUN,STI,Outbound to,Green,Morning,1.4447574216138428
RED,BLU,Inbound to,Red,Midday,1.4406318849208823
KIN,BLU,Inbound to,Red,Midday,1.4377837884126465
BLA,RIA,Inbound to,Red,Night,1.4377837884126465
OGP,PHI,Inbound to,Green,Morning,1.4259986753928708
SMI,JER,Outbound to,Red,Evening,1.4259986753928708
FOU,HEU,Outbound to,Red,Evening,1.4259986753928704
SMI,ABB,Inbound to,Red,Midday,1.4239998189495588
RED,BLU,Inbound to,Red,Morning,1.417256422760134
KIL,WIN,Inbound to,Green,Morning,1.4144999770891427
CPK,SAN,Outbound to,Green,Midday,1.4142381144787621
JAM,FOU,Inbound to,Red,Evening,1.4142135623730951
STI,GAL,Outbound to,Green,Morning,1.4142135623730951
STS,BEE,Outbound to,Green,Morning,1.4142135623730951
MUS,RIA,Outbound to,Red,Morning,1.414213562373095
MIL,BAL,Outbound to,Green,Morning,1.41375335251988
RAN,MIL,Outbound to,Green,Morning,1.4125454915145768
CIT,FET,Inbound to,Red,Evening,1.4114553889889012
STI,BAL,Inbound to,Green,Night,1.409309255744021
KIN,RED,Outbound to,Red,Morning,1.4083210058632072
CHA,STS,Inbound to,Green,Evening,1.4024284493533197
CPK,STI,Outbound to,Green,Midday,1.4024284493533192
BLA,KYL,Inbound to,Red,Morning,1.4024284493533192
PAR,DOM,Outbound to,Green,Evening,1.4024284493533192
GAL,CCK,Outbound to,Green,Midday,1.4024284493533192
HOS,BEL,Outbound to,Red,Morning,1.4024284493533192
