Line,Direction,Stop,PeakPeriod,AvgHeadwayMinutes
Green,Inbound,BAL,Evening,10.11398751882935
Green,Inbound,BAL,Morning,9.91155064456722
Green,Inbound,BAW,Evening,13.95235090324177
Green,Inbound,BAW,Morning,12.839983277591974
Green,Inbound,BEE,Evening,10.17002449920738
Green,Inbound,BEE,Morning,9.945972347460176
Green,Inbound,BRD,Evening,15.591037735849056
Green,Inbound,BRD,Morning,18.366465702036443
Green,Inbound,BRI,Evening,13.813531029065201
Green,Inbound,BRI,Morning,12.917191766435622
Green,Inbound,CAB,Evening,19.308490566037737
Green,Inbound,CAB,Morning,20.649722222222223
Green,Inbound,CCK,Evening,13.974830058089236
Green,Inbound,CCK,Morning,12.850629666778111
Green,Inbound,CHA,Evening,10.164013916068711
Green,Inbound,CHA,Morning,10.043231693231693
Green,Inbound,CHE,Evening,13.84939263322884
Green,Inbound,CHE,Morning,12.902238489284958
Green,Inbound,COW,Evening,10.129410289481227
Green,Inbound,COW,Morning,9.915932818883341
Green,Inbound,CPK,Evening,14.224593495934958
Green,Inbound,CPK,Morning,13.586623173859707
Green,Inbound,DAW,Evening,10.206772292879213
Green,Inbound,DAW,Morning,10.157076417288108
Green,Inbound,DOM,Evening,15.593352671017646
Green,Inbound,DOM,Morning,18.37495351925631
Green,Inbound,DUN,Evening,10.11769542853003
Green,Inbound,DUN,Morning,9.896463070292763
Green,Inbound,GAL,Evening,14.123797614467103
Green,Inbound,GAL,Morning,13.050790774299836
Green,Inbound,GLE,Evening,14.23869141653502
Green,Inbound,GLE,Morning,13.488224461055141
Green,Inbound,GRA,Evening,15.654231242312424
Green,Inbound,GRA,Morning,18.25945499587118
Green,Inbound,HAR,Evening,10.172355072463768
Green,Inbound,HAR,Morning,10.05431007751938
Green,Inbound,KIL,Evening,10.11405790869347
Green,Inbound,KIL,Morning,9.842856103593773
Green,Inbound,LAU,Evening,13.87777986947791
Green,Inbound,LAU,Morning,12.841460423634336
Green,Inbound,LEO,Evening,13.98353901770132
Green,Inbound,LEO,Morning,12.877336890074469
Green,Inbound,MIL,Evening,10.039953998584572
Green,Inbound,MIL,Morning,9.936954864287893
Green,Inbound,OGP,Evening,10.197914837576821
Green,Inbound,OGP,Morning,10.408609412164457
Green,Inbound,OUP,Evening,15.592383574214269
Green,Inbound,OUP,Morning,17.69126403123475
Green,Inbound,PHI,Evening,16.51362385321101
Green,Inbound,PHI,Morning,18.516369710467707
Green,Inbound,RAN,Evening,10.156738126172947
Green,Inbound,RAN,Morning,9.971741270923275
Green,Inbound,SAN,Evening,10.148657597351184
Green,Inbound,SAN,Morning,9.77097176384305
Green,Inbound,STI,Evening,10.157192792792793
Green,Inbound,STI,Morning,9.78511865402983
Green,Inbound,STS,Evening,10.154049207373934
Green,Inbound,STS,Morning,10.12024750499002
Green,Inbound,WES,Evening,10.217832319721982
Green,Inbound,WES,Morning,10.243045651995738
Green,Inbound,WIN,Evening,10.070230404823429
Green,Inbound,WIN,Morning,9.922517285920524
Green,Outbound,BAL,Evening,8.678549464845366
Green,Outbound,BAL,Morning,11.106729264475744
Green,Outbound,BAW,Evening,14.672004830917873
Green,Outbound,BAW,Morning,15.58146129541864
Green,Outbound,BEE,Evening,8.685956245589272
Green,Outbound,BEE,Morning,10.770335457603116
Green,Outbound,BRD,Evening,15.173768587360595
Green,Outbound,BRD,Morning,15.714094412331407
Green,Outbound,BRO,Evening,14.917171474358975
Green,Outbound,BRO,Morning,15.803640965732086
Green,Outbound,CAB,Evening,15.179295532646048
Green,Outbound,CAB,Morning,15.816980235651844
Green,Outbound,CCK,Evening,14.731595576619274
Green,Outbound,CCK,Morning,15.619924751841179
Green,Outbound,CHA,Evening,8.688440528634361
Green,Outbound,CHA,Morning,10.616035723806984
Green,Outbound,CHE,Evening,19.175
Green,Outbound,CHE,Morning,20.997619047619047
Green,Outbound,COW,Evening,8.678287841191068
Green,Outbound,COW,Morning,10.96615989515072
Green,Outbound,CPK,Evening,14.802348871085215
Green,Outbound,CPK,Morning,15.815560961226595
Green,Outbound,DAW,Evening,8.658943666134657
Green,Outbound,DAW,Morning,10.543773443360841
Green,Outbound,DOM,Evening,15.22596729804112
Green,Outbound,DOM,Morning,15.831301799070143
Green,Outbound,DUN,Evening,8.67233433646073
Green,Outbound,DUN,Morning,11.085799111594596
Green,Outbound,GAL,Evening,14.80074653394952
Green,Outbound,GAL,Morning,15.628570311277958
Green,Outbound,GLE,Evening,14.810531952873975
Green,Outbound,GLE,Morning,15.617704545454544
Green,Outbound,GRA,Evening,15.182726990049751
Green,Outbound,GRA,Morning,15.767076659038901
Green,Outbound,HAR,Evening,8.699080297134772
Green,Outbound,HAR,Morning,10.604723084886128
Green,Outbound,KIL,Evening,8.696677346623947
Green,Outbound,KIL,Morning,11.240480933409222
Green,Outbound,LAU,Evening,14.767104276069016
Green,Outbound,LAU,Morning,15.74054974256768
Green,Outbound,LEO,Evening,14.758148413266525
Green,Outbound,LEO,Morning,15.663245448838667
Green,Outbound,MAR,Evening,8.534872425093633
Green,Outbound,MAR,Morning,10.408317261330762
Green,Outbound,MIL,Evening,8.674048298834167
Green,Outbound,MIL,Morning,11.020575318401406
Green,Outbound,PAR,Evening,8.435908801205168
Green,Outbound,PAR,Morning,10.28110398352736
Green,Outbound,PHI,Evening,15.125144553836538
Green,Outbound,PHI,Morning,15.792403498764022
Green,Outbound,RAN,Evening,8.67344528456714
Green,Outbound,RAN,Morning,10.627789661319074
Green,Outbound,SAN,Evening,14.837958883994126
Green,Outbound,SAN,Morning,15.770230746619635
Green,Outbound,STI,Evening,14.70640200286123
Green,Outbound,STI,Morning,15.4058657642414
Green,Outbound,STS,Evening,8.685998584822217
Green,Outbound,STS,Morning,10.572004273504273
Green,Outbound,TRY,Evening,8.6399959178913
Green,Outbound,TRY,Morning,10.464472934472935
Green,Outbound,WIN,Evening,8.664116948649452
Green,Outbound,WIN,Morning,11.032986296494038
Red,Inbound,ABB,Evening,12.254852455523597
Red,Inbound,ABB,Morning,12.357176945668135
Red,Inbound,BEL,Evening,12.34235469131867
Red,Inbound,BEL,Morning,11.624803471158753
Red,Inbound,BLA,Evening,12.301854762653253
Red,Inbound,BLA,Morning,12.0653447717708
Red,Inbound,BLU,Evening,12.27207533312349
Red,Inbound,BLU,Morning,12.02078705172961
Red,Inbound,CIT,Evening,15.998998178506376
Red,Inbound,CIT,Morning,16.743538011695907
Red,Inbound,COO,Evening,16.657596453390845
Red,Inbound,COO,Morning,16.88851047171658
Red,Inbound,CVN,Evening,16.01529287439614
Red,Inbound,CVN,Morning,16.68744855967078
Red,Inbound,DRI,Evening,12.237427271765576
Red,Inbound,DRI,Morning,12.006156351791532
Red,Inbound,FAT,Evening,12.308535943584886
Red,Inbound,FAT,Morning,12.000186314363145
Red,Inbound,FET,Evening,16.0625678119349
Red,Inbound,FET,Morning,16.63599640933573
Red,Inbound,FOR,Evening,16.11322629969419
Red,Inbound,FOR,Morning,16.70854513584575
Red,Inbound,FOU,Evening,12.291972745661662
Red,Inbound,FOU,Morning,12.246387921022066
Red,Inbound,GDK,Evening,16.371767291232942
Red,Inbound,GDK,Morning,17.171623376623376
Red,Inbound,GOL,Evening,12.241406083811954
Red,Inbound,GOL,Morning,12.037502739425817
Red,Inbound,HOS,Evening,16.54356297842728
Red,Inbound,HOS,Morning,16.8993615786419
Red,Inbound,JAM,Evening,12.282066124322068
Red,Inbound,JAM,Morning,12.026287541395455
Red,Inbound,KIN,Evening,12.351756056278429
Red,Inbound,KIN,Morning,11.625516635668525
Red,Inbound,KYL,Evening,12.361761303890642
Red,Inbound,KYL,Morning,11.950359824780977
Red,Inbound,MUS,Evening,12.314662247474747
Red,Inbound,MUS,Morning,12.235195370688668
Red,Inbound,MYS,Evening,16.79796355841372
Red,Inbound,MYS,Morning,17.428484139365573
Red,Inbound,RED,Evening,12.321990814909752
Red,Inbound,RED,Morning,11.749317068084663
Red,Inbound,RIA,Evening,12.279268680445153
Red,Inbound,RIA,Morning,12.05760930336576
Red,Inbound,SAG,Evening,16.04690959409594
Red,Inbound,SAG,Morning,16.671915204678363
Red,Inbound,SDK,Evening,20.296078431372546
Red,Inbound,SDK,Morning,18.320430107526885
Red,Inbound,SMI,Evening,12.280173876166243
Red,Inbound,SMI,Morning,12.26605851979346
Red,Inbound,SUI,Evening,12.281996377969532
Red,Inbound,SUI,Morning,12.020149750415975
Red,Inbound,TAL,Evening,16.520068728522336
Red,Inbound,TAL,Morning,16.947028274668206
Red,Outbound,ABB,Evening,8.951235257603972
Red,Outbound,ABB,Morning,9.593951272000615
Red,Outbound,BEL,Evening,9.472928904192829
Red,Outbound,BEL,Morning,11.058664277893898
Red,Outbound,BLU,Evening,9.549030810038769
Red,Outbound,BLU,Morning,10.45194874532835
Red,Outbound,BUS,Evening,18.561748984391706
Red,Outbound,BUS,Morning,14.722493603163526
Red,Outbound,CIT,Evening,16.036616616616616
Red,Outbound,CIT,Morning,14.065062111801243
Red,Outbound,CON,Evening,18.445315703157032
