Stop,NextStop,Direction,Line,Period,AvgVolatilityMinutes
FOU,SDK,Inbound to,Red,Midday,4.266210913158837
KIN,CVN,Outbound to,Red,Evening,4.242640687119285
SUI,MUS,Inbound to,Red,Midday,3.8890872965260113
SMI,JAM,Outbound to,Red,Evening,3.785938897200183
SMI,JAM,Outbound to,Red,Midday,3.559104131972289
SMI,BUS,Inbound to,Red,Morning,3.5355339059327378
STS,RAN,Outbound to,Green,Midday,3.5237487929129623
BAL,COW,Inbound to,Green,Evening,3.523748792912962
GLE,LAU,Outbound to,Green,Evening,3.523748792912962
KIN,CIT,Outbound to,Red,Evening,3.523748792912962
BUS,JER,Outbound to,Red,Evening,3.4641016151377544
MAR,STS,Outbound to,Green,Evening,3.1878730718493515
DUN,COW,Inbound to,Green,Midday,3.1760879588295756
FET,RED,Inbound to,Red,Midday,3.1463855578360094
LEO,LAU,Outbound to,Green,Morning,3.0141323442264616
FOU,BUS,Inbound to,Red,Morning,2.9168476134347507
LEO,CCK,Outbound to,Green,Night,2.840212237765966
MIL,CHA,Inbound to,Green,Night,2.8402122377659658
MIL,KIL,Outbound to,Green,Midday,2.8402122377659658
BEE,STS,Inbound to,Green,Morning,2.8284271247461903
BAL,COW,Inbound to,Green,Night,2.8284271247461903
ABB,SDK,Inbound to,Red,Evening,2.8272745277685845
CHA,COW,Outbound to,Green,Night,2.8166420117264144
PAR,DAW,Outbound to,Green,Night,2.8166420117264144
LEO,CHE,Outbound to,Green,Evening,2.8166420117264144
MUS,RIA,Outbound to,Red,Morning,2.816642011726414
FAT,SMI,Inbound to,Red,Evening,2.801004388277918
GLE,BAW,Outbound to,Green,Evening,2.775003420806051
RIA,MUS,Inbound to,Red,Midday,2.741408030982821
PHI,DOM,Outbound to,Green,Morning,2.6331751007312656
HEU,RIA,Outbound to,Red,Morning,2.6190281900111416
WIN,STI,Outbound to,Green,Morning,2.579129091447839
JAM,DRI,Outbound to,Red,Morning,2.508891595313962
COW,DUN,Outbound to,Green,Evening,2.4424876565417435
STI,GAL,Outbound to,Green,Morning,2.4422468270721756
GDK,JER,Outbound to,Red,Evening,2.427165176108349
ABB,SDK,Inbound to,Red,Morning,2.419326257156561
TRY,HAR,Outbound to,Green,Morning,2.4043382288080917
DOM,MAR,Outbound to,Green,Midday,2.3570226039551585
WES,OUP,Inbound to,Green,Midday,2.3154805616006375
CHA,DAW,Inbound to,Green,Evening,2.314227332858237
GAL,LAU,Outbound to,Green,Midday,2.299778572272009
DAW,CHA,Outbound to,Green,Morning,2.2918956420600933
KIN,HOS,Outbound to,Red,Midday,2.2821302607093816
RIA,MUS,Inbound to,Red,Morning,2.2790184332346306
KIL,MIL,Inbound to,Green,Morning,2.275332698505625
CCK,GAL,Inbound to,Green,Morning,2.175718272203458
FET,KIN,Inbound to,Red,Evening,2.1540370983993116
LEO,CPK,Outbound to,Green,Morning,2.1331054565794183
PAR,TRY,Outbound to,Green,Night,2.121320343559643
RED,GOL,Inbound to,Red,Morning,2.1213203435596424
RED,DRI,Inbound to,Red,Midday,2.1213203435596424
RED,HOS,Outbound to,Red,Morning,2.1213203435596424
BRI,CCK,Inbound to,Green,Morning,2.1213203435596424
MUS,ABB,Inbound to,Red,Morning,2.1137286836077562
ABB,SDK,Inbound to,Red,Midday,2.1098273906706773
RED,COO,Outbound to,Red,Evening,2.1095352305398665
DUN,COW,Inbound to,Green,Evening,2.101066455696885
RIA,MUS,Inbound to,Red,Evening,2.098411157070422
SAG,CVN,Inbound to,Red,Morning,2.095055908385086
PAR,TRY,Outbound to,Green,Midday,2.0882263451050136
BEE,WIN,Inbound to,Green,Morning,2.085965004500315
DAW,OUP,Inbound to,Green,Night,2.0816659994661326
KIN,HOS,Outbound to,Red,Morning,2.0807753701499547
SUI,MUS,Inbound to,Red,Morning,2.079316126892579
BEE,WIN,Outbound to,Green,Night,2.0777257866341374
GAL,SAN,Inbound to,Green,Morning,2.0752688357754376
COW,HAR,Inbound to,Green,Morning,2.067640899404171
FOU,GDK,Inbound to,Red,Night,2.0616642781887635
LEO,CCK,Outbound to,Green,Evening,2.05999143452021
JAM,GOL,Outbound to,Red,Midday,2.059013607783357
JER,MUS,Outbound to,Red,Evening,2.053655277791285
SMI,GDK,Inbound to,Red,Evening,2.041275472726686
WES,OUP,Inbound to,Green,Evening,2.0377515718487627
WES,BRD,Inbound to,Green,Morning,2.0171971756144473
MUS,ABB,Inbound to,Red,Midday,2.01619207451808
KIL,GLE,Outbound to,Green,Morning,2.001758210762368
CVN,KIN,Inbound to,Red,Morning,1.9932169816029301
WIN,BEE,Inbound to,Green,Evening,1.991718967235198
CVN,KIN,Inbound to,Red,Midday,1.9916401867330182
HEU,RIA,Outbound to,Red,Evening,1.9886406105162442
LEO,CHE,Outbound to,Green,Morning,1.9803241065913002
JER,MUS,Outbound to,Red,Morning,1.9733831537308133
FAT,MUS,Inbound to,Red,Midday,1.9693644917927828
FET,RED,Inbound to,Red,Evening,1.9456361427563997
STS,WES,Inbound to,Green,Morning,1.9361329391864326
HAR,COW,Outbound to,Green,Morning,1.9354542039212874
BAW,LAU,Outbound to,Green,Evening,1.9262746034083575
ABB,MYS,Inbound to,Red,Midday,1.9165301025900192
BAL,CPK,Outbound to,Green,Morning,1.9159358510099402
JAM,SMI,Inbound to,Red,Evening,1.9144803920650033
CHA,STS,Inbound to,Green,Night,1.9120600955970368
MIL,RAN,Inbound to,Green,Evening,1.8934748251773108
STI,GLE,Outbound to,Green,Evening,1.8858724130819042
STS,WES,Inbound to,Green,Evening,1.8819515390235537
HAR,DAW,Inbound to,Green,Evening,1.8812875666333928
COW,DUN,Outbound to,Green,Midday,1.865146219787226
WES,OUP,Inbound to,Green,Morning,1.864695336749363
JAM,SMI,Inbound to,Red,Night,1.8628952702389872
CHA,STS,Inbound to,Green,Morning,1.8538050380522468
KIN,FET,Outbound to,Red,Midday,1.8433537029555351
ABB,SMI,Outbound to,Red,Morning,1.842522425613563
BUS,JER,Outbound to,Red,Morning,1.8333846794156565
SAN,DUN,Inbound to,Green,Morning,1.8325048633152583
GAL,CCK,Outbound to,Green,Midday,1.8181971021725207
CHA,COW,Outbound to,Green,Evening,1.8114326348247454
BAW,GLE,Inbound to,Green,Morning,1.804920323376457
RAN,STS,Inbound to,Green,Morning,1.8009481229103026
PAR,TRY,Outbound to,Green,Morning,1.8002392821330422
CVN,BEL,Inbound to,Red,Night,1.7963079419248311
SUI,JAM,Inbound to,Red,Midday,1.7922457082338639
DUN,STI,Outbound to,Green,Midday,1.7913484045238044
KIL,MIL,Inbound to,Green,Midday,1.786347345030512
MUS,ABB,Inbound to,Red,Evening,1.785479841144544
MAR,DAW,Outbound to,Green,Morning,1.7836762543896492
KIL,WIN,Inbound to,Green,Evening,1.7804636476506543
RAN,MIL,Outbound to,Green,Morning,1.777300965260124
PHI,DOM,Outbound to,Green,Night,1.7736595094762566
PAR,DAW,Outbound to,Green,Morning,1.7714026697382155
BLU,RIA,Inbound to,Red,Morning,1.7590240809468476
STI,GLE,Outbound to,Green,Morning,1.7586670826641413
JAM,SMI,Inbound to,Red,Morning,1.7520135684213414
LEO,LAU,Outbound to,Green,Midday,1.7504242157548044
JAM,SMI,Inbound to,Red,Midday,1.750262268463531
CPK,LEO,Outbound to,Green,Morning,1.7502058824255322
FOU,MYS,Inbound to,Red,Morning,1.744920771266731
KIL,COW,Inbound to,Green,Morning,1.7368820510498861
BLA,FAT,Inbound to,Red,Night,1.7368820510498861
GDK,JER,Outbound to,Red,Midday,1.7356254895165655
MIL,BAL,Outbound to,Green,Midday,1.734014097185549
KYL,DRI,Inbound to,Red,Morning,1.7328658796894896
BLU,GOL,Inbound to,Red,Midday,1.728925590360836
FAT,MUS,Inbound to,Red,Morning,1.728258438471738
HAR,CHA,Inbound to,Green,Midday,1.727259657933898
KYL,GOL,Inbound to,Red,Evening,1.7225518294677955
MAR,STS,Outbound to,Green,Morning,1.7169716180664674
FET,KIN,Inbound to,Red,Midday,1.704980234993715
KIN,KYL,Inbound to,Red,Evening,1.7047718002549566
DAW,HAR,Outbound to,Green,Evening,1.6974753533116969
JAM,FOU,Inbound to,Red,Midday,1.6972848523332047
FOU,MYS,Inbound to,Red,Midday,1.6923071818439195
OGP,DOM,Inbound to,Green,Evening,1.6911240965605596
FOU,GDK,Inbound to,Red,Morning,1.6895547644697033
KIN,KYL,Inbound to,Red,Morning,1.6886293852659233
